file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList
./venv/lib/python3.9/site-packages/setuptools/_distutils/_msvccompiler.py,2,4,7,0,0,2,0,1,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/unixccompiler.py,0,0,2,0,0,2,0,4,1
./venv/lib/python3.9/site-packages/setuptools/_distutils/filelist.py,0,4,3,0,1,3,0,0,1
./venv/lib/python3.9/site-packages/setuptools/_distutils/ccompiler.py,24,3,5,0,0,3,0,0,3
./venv/lib/python3.9/site-packages/setuptools/_distutils/msvc9compiler.py,5,5,8,0,1,3,0,2,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/archive_util.py,3,0,3,0,0,1,0,2,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/cmd.py,2,1,4,0,0,2,0,0,1
./venv/lib/python3.9/site-packages/setuptools/_distutils/config.py,0,0,1,0,0,2,0,2,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/version.py,2,0,8,0,4,3,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/log.py,0,1,1,0,0,0,0,1,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/util.py,0,0,7,0,0,2,0,2,1
./venv/lib/python3.9/site-packages/setuptools/_distutils/fancy_getopt.py,0,1,2,0,1,5,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/versionpredicate.py,0,0,2,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/file_util.py,0,0,0,0,0,1,0,1,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/core.py,0,1,2,0,0,2,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/py35compat.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/cygwinccompiler.py,1,0,3,0,1,3,0,1,1
./venv/lib/python3.9/site-packages/setuptools/_distutils/extension.py,0,0,0,0,0,2,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/debug.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/spawn.py,1,1,2,0,0,1,0,0,1
./venv/lib/python3.9/site-packages/setuptools/_distutils/text_file.py,0,2,2,0,0,2,0,2,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/msvccompiler.py,5,3,7,0,1,2,0,1,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/errors.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/dep_util.py,0,3,2,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/dir_util.py,0,1,1,0,0,1,0,0,1
./venv/lib/python3.9/site-packages/setuptools/_distutils/sysconfig.py,3,7,9,0,0,5,0,10,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/py38compat.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/dist.py,11,9,12,0,1,8,0,4,0
./venv/lib/python3.9/site-packages/setuptools/_distutils/bcppcompiler.py,0,0,1,0,0,1,0,1,0
./venv/lib/python3.9/site-packages/pkg_resources/_vendor/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pkg_resources/_vendor/appdirs.py,40,1,2,0,6,6,0,3,0
./venv/lib/python3.9/site-packages/pkg_resources/_vendor/pyparsing.py,100,16,76,4,29,38,0,23,13
./venv/lib/python3.9/site-packages/pkg_resources/extern/__init__.py,0,0,0,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/wheel/vendored/packaging/tags.py,13,0,14,0,1,4,0,1,0
./venv/lib/python3.9/site-packages/wheel/vendored/packaging/_typing.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/wheel/vendored/packaging/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/network/auth.py,4,3,4,0,0,2,0,1,0
./venv/lib/python3.9/site-packages/pip/_internal/network/xmlrpc.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/network/download.py,10,1,2,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/network/session.py,7,2,1,0,0,3,0,2,1
./venv/lib/python3.9/site-packages/pip/_internal/network/cache.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/network/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/network/utils.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/network/lazy_wheel.py,0,0,2,0,0,1,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/logging.py,2,0,5,0,3,2,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/misc.py,0,2,15,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/egg_link.py,0,1,2,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/compat.py,0,0,2,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/encoding.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/models.py,0,0,1,0,0,0,0,0,1
./venv/lib/python3.9/site-packages/pip/_internal/utils/deprecation.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/subprocess.py,0,1,0,0,0,0,0,3,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/filesystem.py,0,1,4,0,0,0,0,1,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/direct_url_helpers.py,0,0,0,0,0,0,0,1,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/__init__.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/temp_dir.py,1,0,0,0,2,2,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/appdirs.py,0,1,3,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/inject_securetransport.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/setuptools_build.py,4,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/packaging.py,0,0,1,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/distutils_args.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/entrypoints.py,0,0,0,0,0,0,0,0,0
./venv/lib/python3.9/site-packages/pip/_internal/utils/filetypes.py,0,0,1,0,0,0,0,0,0
